Designator,Part Number,Item Description,Quantity,Cost Per Part,Total Cost,
B0CJ9F8PBP,"ELEGRP GFCI Outlet Outdoor, 20 Amp Self-Test GFI Electrical Outlet with Thinner Design, Weather & Tamper Resistant GFCI Receptacle, Ground Fault Receptacle w/Wall Plate, UL Listed, Matte White, 2 Pack - Amazon.com","ELEGRP GFCI Outlet Outdoor, 20 Amp Self-Test GFI Electrical Outlet with Thinner Design, Weather & Tamper Resistant GFCI Receptacle, Ground Fault Receptacle w/Wall Plate, UL Listed, Matte White, 2 Pack",2,12.5,24.99,
HC-SR501,Amazon.com: DIYmall 5 Pack HC-SR501 Pir Motion IR Sensor Body Module Infrared for Arduino : Electronics,DIYmall 5 Pack HC-SR501 Pir Motion IR Sensor Body Module Infrared for Arduino,5,1.89,9.49,
B079FJSYGY,Amazon.com: 4 pcs DC 5V 1 Channel Relay Module Board Shield High/Low Level Trigger with Optocoupler : Industrial & Scientific,4 pcs DC 5V 1 Channel Relay Module Board Shield High/Low Level Trigger with Optocoupler,4,1.35,5.4,
146248,Primary Wire Connector Kit 600 Piece | Remy Battery,600 Piece PVC Primary Wire Connector Kit,2,-,,
S1,https://www.amazon.com/dp/B08PFB4HDT?smid=A2N7NRZ9X3BHHN&ref_=chk_typ_imgToDp&th=1,Wihte Cord Mesh Organizer,1,9.99,9.99,
S2,Steel Tubing for Structure,,1,-,,
,,,, Order Total Cost:, $65.32 ,
Power Converter,,,,,,
Cboot,CAP CER 0.1UF 50V X7R 1210,https://www.digikey.com/en/products/detail/yageo/CC1210KKX7R9BB104/5884736,,3, $1.29 ,
Ccomp,CAP CER 1000PF 100V X7R 1210,https://www.digikey.com/en/products/detail/kyocera-avx/KGM32RR72A102KU/563710,,3, $1.86 ,
Ccomp2,CAP CER 10PF 50V C0G/NPO 0805,https://www.digikey.com/en/products/detail/yageo/CC0805JRNPO9BN100/302833?s=N4IgTCBcDaIMJwAwA5EFYBSAlAcgBQHkBOAIRwEZFEQBdAXyA,,3, $0.30 ,
Cin,CAP CER 22UF 25V X5R 1210,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL32A226KAJNNNE/3886759,,3, $1.32 ,
Cout,CAP CER 47UF 16V X6S 1210,https://www.digikey.com/en/products/detail/murata-electronics/GRM32EC81C476KE15K/7363053,,3, $1.56 ,
Css,CAP CER 8200PF 50V C0G/NP0 1210,https://www.digikey.com/en/products/detail/vishay-vitramon/VJ1210A822JXAAT/8320960,,3, $3.09 ,
D1,DIODE SCHOTTKY 40V 0.5A SMA,https://www.digikey.com/en/products/detail/rohm-semiconductor/RB400VYM-50FHTR/8028520,,3, $1.26 ,
Rcomp,RES SMD 56.2K OHM 1% 1/2W 1210,https://www.digikey.com/en/mylists/list/SW46HQUBVC,,3, $1.11 ,
Rfbt,RES SMD 10.2K OHM 1% 1/2W 1210,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-14NF1022U/383823?s=N4IgjCBcpgbFoDGUBmBDANgZwKYBoQB7KAbRAA4AWS2ABhAF0CAHAFyhAGVWAnASwB2AcxABfAgCZa5AKwIQbDgFUBfVgHkUAWRxosAVx44QBfRwDW6gBYBbLCZA3BHMLQB0EhzbQAPF%2B89xEABaT2gQZEhefXwiUhA5BiDg%2BHDI6NjiSDJPJNFRIA,,3, $1.11 ,
Rfbb,RES SMD 1.96K OHM 1% 1/2W 1210,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-14NF1961U/383938,,3, $1.11 ,
RenB,RES SMD 39.2K OHM 1% 1/2W 1210,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-14NF3922U/384079,,3, $1.11 ,
RenT,RES SMD 169K OHM 1% 1/2W 1210,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-14NF1693U/383911,,3, $1.11 ,
"J1, J2",TERM BLK 2POS SIDE ENTRY 5MM PCB,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/691137710002/6644051,,6, $2.46 ,
L1,IND 22UH 3A 80 MOHM SMD,https://www.digikey.com/en/products/detail/bourns-inc/SDR1105-220ML/2561904,,3, $2.94 ,
U1,TPS54233DR Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 2A 8-SOIC,https://www.digikey.com/en/products/detail/texas-instruments/TPS54233DR/1967861,,3, $5.10 ,
,,,,Total Cost, $26.73 ,
,,,,, $34.14 ,
,,,,,,
,,,,Spent To Date:,$120.79,
,,,,Budget Remainer,$279.21,
